Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,1,Hypermarkets,Green,200-249G,16.3202,936.803413,3.4272,477
2020,1,Hypermarkets,Green,350-399G,87.8634,7019.116508,30.7522,754
2020,1,Hypermarkets,Green,400-599G,35.7182,4166.453788,17.8592,629
2020,1,Hypermarkets,Green,600-899G,0.358,66.38769,0.2685,29
2020,1,Hypermarkets,Blue,400-599G,16.8368,3227.992656,6.7346,663
2020,1,Hypermarkets,Black,200-249G,10.0639,573.128758,2.3147,547
2020,1,Hypermarkets,Black,400-599G,5.1222,559.444379,2.305,325
2020,1,Hypermarkets,White,<200G,3.4856,328.755626,0.6274,96
2020,1,Hypermarkets,Red,350-399G,1.6929,253.642919,0.6264,95
2020,1,Hypermarkets,Yellow,350-399G,2.8313,200.763102,1.0193,191
2020,1,Hypermarkets,Orange,250-299G,0.0068,2.200698,0.0019,4
2020,1,Hypermarkets,Orange,400-599G,0.5648,71.031833,0.2259,78
2020,1,Hypermarkets,Purple,400-599G,0.242,61.805145,0.0968,96
2020,1,Hypermarkets,Pink,<200G,0.3707,56.153614,0.0704,0
2020,1,Hypermarkets,Brown,400-599G,0.321,50.76976,0.1284,0
2020,1,Minimarkets,Green,200-249G,66.7225,4050.03638,14.0117,7561
2020,1,Minimarkets,Green,300-349G,0.0013,0.134999,0.0004,1
2020,1,Minimarkets,Green,350-399G,77.9698,7036.255168,27.2894,8754
2020,1,Minimarkets,Green,400-599G,7.861,1087.96951,3.9304,1426
2020,1,Minimarkets,Green,600-899G,0.6025,109.493529,0.4518,277
2020,1,Minimarkets,Yellow,350-399G,52.7901,3000.962605,19.0044,5948
2020,1,Minimarkets,Blue,400-599G,14.2126,2169.309011,5.6849,1776
2020,1,Minimarkets,Black,200-249G,4.3366,319.951771,0.9974,1627
2020,1,Minimarkets,Black,400-599G,1.6089,234.200456,0.7239,514
2020,1,Minimarkets,Red,350-399G,1.2559,207.232319,0.4648,355
2020,1,Minimarkets,White,<200G,2.0961,177.535357,0.3773,298
2020,1,Minimarkets,Grey,350-399G,0.5244,119.596253,0.1835,71
2020,1,Minimarkets,Pale,<200G,0.0022,0.930142,0.0004,2
2020,1,Minimarkets,Pale,400-599G,0.3416,108.540446,0.1367,49
2020,1,Minimarkets,Pastel,250-299G,1.0783,51.908766,0.302,613
2020,1,Minimarkets,Mat,400-599G,0.4799,43.137401,0.24,0
2020,1,Supermarkets,Green,200-249G,173.1694,8930.873194,36.3655,10568
2020,1,Supermarkets,Green,350-399G,109.4041,9457.396412,38.2914,8553
2020,1,Supermarkets,Green,400-599G,41.8318,4901.080918,20.916,2638
2020,1,Supermarkets,Green,600-899G,0.0807,15.311662,0.0605,53
2020,1,Supermarkets,Blue,400-599G,66.1422,9564.403796,26.4569,5157
2020,1,Supermarkets,Yellow,350-399G,55.3375,3197.053251,19.9215,6724
2020,1,Supermarkets,Black,200-249G,19.5669,1090.341146,4.5003,3312
2020,1,Supermarkets,Black,400-599G,7.0743,918.309789,3.1834,1018
2020,1,Supermarkets,Red,350-399G,5.5746,811.85142,2.0626,709
2020,1,Supermarkets,Pale,<200G,0.0088,3.021369,0.0017,10
2020,1,Supermarkets,Pale,400-599G,1.7347,489.019976,0.6938,223
2020,1,Supermarkets,Deep,<200G,1.3486,387.537281,0.2563,100
2020,1,Supermarkets,Deep,350-399G,0.0314,10.497775,0.011,7
2020,1,Supermarkets,Deep,400-599G,0.0734,36.070235,0.0367,50
2020,1,Supermarkets,White,<200G,3.1912,241.683626,0.5744,179
2020,1,Supermarkets,Dim,350-399G,0.0554,25.307236,0.0194,0
2020,1,Supermarkets,Dim,400-599G,0.3194,174.92429,0.1341,0
2020,1,Supermarkets,Vivid,<200G,0.3405,46.280242,0.0613,63
2020,1,Supermarkets,Vivid,350-399G,0.7489,144.095549,0.2622,67
2020,2,Hypermarkets,Green,200-249G,15.4443,902.021306,3.2433,479
2020,2,Hypermarkets,Green,350-399G,61.9945,5267.687694,21.6982,771
2020,2,Hypermarkets,Green,400-599G,52.0653,5737.79897,26.0328,648
2020,2,Hypermarkets,Green,600-899G,0.327,61.337886,0.2453,23
2020,2,Hypermarkets,Blue,400-599G,15.7978,3177.907308,6.319,668
2020,2,Hypermarkets,Black,200-249G,16.1499,874.324135,3.7145,525
2020,2,Hypermarkets,Black,400-599G,3.4374,443.556823,1.5468,319
2020,2,Hypermarkets,White,<200G,3.1436,306.878801,0.5659,89
2020,2,Hypermarkets,Red,350-399G,1.8528,281.485434,0.6855,93
2020,2,Hypermarkets,Yellow,350-399G,2.481,184.941745,0.8931,168
2020,2,Hypermarkets,Orange,250-299G,0.0062,2.004698,0.0017,4
2020,2,Hypermarkets,Orange,400-599G,0.8744,106.299765,0.3498,108
2020,2,Hypermarkets,Purple,400-599G,0.2345,57.967151,0.0938,93
2020,2,Hypermarkets,Pink,<200G,0.3319,50.762267,0.0631,0
2020,2,Hypermarkets,Brown,400-599G,0.2888,46.506611,0.1155,70
2020,2,Minimarkets,Green,200-249G,67.5195,3973.243146,14.1791,8031
2020,2,Minimarkets,Green,300-349G,0.0326,2.724914,0.0104,16
2020,2,Minimarkets,Green,350-399G,74.3137,6994.827867,26.0097,9400
2020,2,Minimarkets,Green,400-599G,6.0307,839.264868,3.0153,1291
2020,2,Minimarkets,Green,600-899G,0.4328,79.266848,0.3246,279
2020,2,Minimarkets,Yellow,350-399G,39.9546,2210.363738,14.3836,5524
2020,2,Minimarkets,Blue,400-599G,11.616,1969.556878,4.6465,1919
2020,2,Minimarkets,Black,200-249G,2.6972,195.339862,0.6204,1549
2020,2,Minimarkets,Black,400-599G,1.1557,203.567716,0.5201,518
2020,2,Minimarkets,Red,350-399G,1.045,178.409536,0.3866,253
2020,2,Minimarkets,Pale,<200G,0.067,22.854508,0.0127,51
2020,2,Minimarkets,Pale,400-599G,0.4186,131.38103,0.1674,84
2020,2,Minimarkets,White,<200G,1.0259,91.413191,0.1847,233
2020,2,Minimarkets,Orange,400-599G,0.3508,40.453398,0.1403,282
2020,2,Minimarkets,Vivid,<200G,0.0227,3.238388,0.0041,0
2020,2,Minimarkets,Vivid,350-399G,0.1831,36.294018,0.0641,0
2020,2,Minimarkets,Virulent,300-349G,0.1532,27.976055,0.0491,0
2020,2,Minimarkets,Virulent,400-599G,0.0295,2.716891,0.0118,0
2020,2,Supermarkets,Green,200-249G,124.2706,6261.83286,26.0969,9957
2020,2,Supermarkets,Green,350-399G,112.8185,10193.829322,39.4865,8768
2020,2,Supermarkets,Green,400-599G,25.1908,3303.863573,12.5954,2630
2020,2,Supermarkets,Green,600-899G,0.0843,16.051771,0.0633,53
2020,2,Supermarkets,Blue,400-599G,30.8669,5580.485107,12.3467,3891
2020,2,Supermarkets,Yellow,350-399G,43.3914,2388.342617,15.6209,6043
2020,2,Supermarkets,Black,200-249G,9.44,564.161924,2.1712,2546
2020,2,Supermarkets,Black,400-599G,5.2153,824.082768,2.3468,1093
2020,2,Supermarkets,Red,350-399G,10.9837,1386.735499,4.064,919
2020,2,Supermarkets,Pale,<200G,0.0175,6.433346,0.0033,13
2020,2,Supermarkets,Pale,400-599G,1.803,520.283287,0.7211,238
2020,2,Supermarkets,Deep,<200G,1.7385,457.743868,0.3303,108
2020,2,Supermarkets,Deep,350-399G,0.0397,13.110632,0.014,8
2020,2,Supermarkets,Deep,400-599G,0.0685,33.706557,0.0342,40
2020,2,Supermarkets,Moderate,<200G,0.0016,0.21092,0.0003,4
2020,2,Supermarkets,Moderate,350-399G,2.2326,287.868454,0.7815,150
2020,2,Supermarkets,Dim,350-399G,0.0526,24.106433,0.0184,0
