Year	Month	Channel	Brand	Weight range	Units (in 1000)	Value (in 1000 rub)	Volume (in 1000 kg)	Number of stores
2022	1	Hypermarkets	Green	200-249G	15.2249	899.265493	3.1972	536
2022	1	Hypermarkets	Green	350-399G	58.2443	5622.580442	20.3855	758
2022	1	Hypermarkets	Green	400-599G	38.4102	4457.22479	19.2051	633
2022	1	Hypermarkets	Blue	200-249G	0.1327	15.948333	0.0265	10
2022	1	Hypermarkets	Blue	400-599G	44.9287	7611.563208	17.9715	728
2022	1	Hypermarkets	White	<200G	2.8629	307.946992	0.5153	210
2022	1	Hypermarkets	Orange	250-299G	0.0225	6.422605	0.0063	13
2022	1	Hypermarkets	Orange	400-599G	1.5595	212.469968	0.6237	178
2022	1	Hypermarkets	Red	350-399G	1.0881	171.236944	0.4026	39
2022	1	Hypermarkets	Yellow	250-299G	0.0005	0.029771	0.0001	2
2022	1	Hypermarkets	Yellow	350-399G	1.4561	116.992414	0.5242	155
2022	1	Hypermarkets	Magenta	300-349G	0.8941	95.339903	0.2861	209
2022	1	Hypermarkets	Purple	400-599G	0.1668	38.969667	0.0667	110
2022	1	Hypermarkets	Pink	<200G	0.2026	34.905171	0.0385	80
2022	1	Hypermarkets	Pink	350-399G	0.0014	0.142028	0.0005	1
2022	1	Hypermarkets	Cotton	400-599G	0.1902	32.450189	0.0865	0
2022	1	Minimarkets	Green	200-249G	88.4917	4389.809554	18.5833	9100
2022	1	Minimarkets	Green	350-399G	57.6908	5967.119432	20.1918	9322
2022	1	Minimarkets	Green	400-599G	2.834	485.822233	1.4171	721
2022	1	Minimarkets	Green	600-899G	0.2856	46.13722	0.2142	163
2022	1	Minimarkets	Blue	200-249G	0.0974	14.795735	0.0195	24
2022	1	Minimarkets	Blue	400-599G	8.1112	1609.072208	3.2445	1351
2022	1	Minimarkets	Yellow	250-299G	0.6235	38.73859	0.1621	128
2022	1	Minimarkets	Yellow	350-399G	11.9015	701.603394	4.2846	1386
2022	1	Minimarkets	White	<200G	8.1162	700.442242	1.4609	2897
2022	1	Minimarkets	Snow	350-399G	4.4477	193.181003	1.5567	435
2022	1	Minimarkets	Rosy	350-399G	2.2066	164.704934	0.8496	769
2022	1	Minimarkets	Rosy	400-599G	0.1416	12.006769	0.0694	56
2022	1	Minimarkets	Lilac	400-599G	1.1685	135.056441	0.4674	0
2022	1	Minimarkets	Orange	250-299G	0.0036	1.59307	0.001	0
2022	1	Minimarkets	Orange	300-349G	0.0031	0.95189	0.0009	0
2022	1	Minimarkets	Orange	400-599G	0.871	127.584278	0.3483	0
2022	1	Minimarkets	Black	200-249G	1.3608	98.695255	0.313	422
2022	1	Minimarkets	Black	400-599G	0.0795	7.20621	0.0358	97
2022	1	Minimarkets	Magenta	300-349G	1.0835	96.79121	0.3467	921
2022	1	Supermarkets	Green	200-249G	200.7302	10271.13988	42.1534	17167
2022	1	Supermarkets	Green	350-399G	159.5171	14567.6979	55.8309	17397
2022	1	Supermarkets	Green	400-599G	9.9211	1323.619549	4.9606	729
2022	1	Supermarkets	Green	600-899G	0.0087	1.791126	0.0065	3
2022	1	Supermarkets	Blue	200-249G	1.2303	147.988777	0.2461	286
